ACCDDATE,ACCDYEAR,ACCDNMBR,ACCDTIME,DAYNMBR,Weekend,Fishnet_ID
8/29/2010,2010,100805238,150,SUN,1,4765
11/22/2010,2010,101110430,1724,MON,0,4766
2/18/2012,2012,120204009,1700,SAT,1,4768
6/9/2010,2010,100601545,221,WED,0,4768
3/12/2011,2011,110301841,159,SAT,1,4768
5/20/2012,2012,120508158,315,SUN,1,4769
12/21/2013,2013,131207239,1343,SAT,1,4770
2/20/2010,2010,100208346,1720,SAT,1,4770
9/8/2014,2014,140902078,1503,MON,0,4770
6/29/2012,2012,120608555,2239,FRI,1,4770
2/3/2012,2012,120200778,30,FRI,0,4770
1/29/2012,2012,120108944,1147,SUN,1,4770
1/22/2012,2012,120106134,2341,SUN,1,4770
8/20/2011,2011,110808941,642,SAT,1,4770
3/23/2013,2013,130306533,2311,SAT,1,4770
11/19/2011,2011,111106451,251,SAT,1,4770
3/18/2014,2014,140304549,2027,TUE,0,4770
10/11/2014,2014,141002309,2036,SAT,1,4770
3/19/2014,2014,140304548,207,WED,0,4770
1/24/2010,2010,100104316,36,SUN,1,4770
4/18/2011,2011,110402681,150,MON,1,4770
8/16/2014,2014,140804823,146,SAT,1,4770
9/14/2014,2014,140902605,1720,SUN,1,4770
1/23/2014,2014,140113509,2204,THU,0,4770
11/18/2010,2010,101105758,2237,THU,0,4770
12/11/2013,2013,131203893,1818,WED,0,4770
6/23/2013,2013,130606022,1745,SUN,1,4770
1/10/2010,2010,100101630,305,SUN,1,4770
7/31/2010,2010,100707457,1930,SAT,1,4770
5/17/2014,2014,140503973,523,SAT,1,4770
9/14/2013,2013,130903314,240,SAT,1,4770
4/25/2010,2010,100405637,143,SUN,1,4770
6/8/2013,2013,130601926,127,SAT,1,4770
12/26/2011,2011,111208838,1508,MON,0,4770
8/8/2014,2014,140801468,2048,FRI,1,4770
7/13/2012,2012,120703823,403,FRI,0,4770
5/16/2010,2010,100503398,1240,SUN,1,4771
6/30/2011,2011,110608060,2230,THU,0,4773
5/27/2013,2013,130507229,1645,MON,0,4777
12/1/2014,2014,141201883,2200,MON,0,4778
11/20/2010,2010,101105877,218,SAT,1,4778
2/10/2013,2013,130204351,2220,SUN,1,4780
9/5/2011,2011,110902461,1705,MON,0,4785
4/11/2014,2014,140402602,2201,FRI,1,4789
4/14/2013,2013,130407237,233,SUN,1,4790
3/14/2013,2013,130309059,2355,THU,0,4790
10/25/2014,2014,141007522,1832,SAT,1,4793
11/26/2011,2011,111111931,245,SAT,1,4793
1/17/2011,2011,110111439,1930,MON,0,4799
9/2/2011,2011,110908425,130,FRI,0,4800
1/19/2014,2014,140111603,258,SUN,1,4801
12/24/2012,2012,121211086,1414,MON,0,4801
5/15/2013,2013,130505385,722,WED,0,4802
1/6/2012,2012,120103251,1220,FRI,0,4802
9/19/2010,2010,100905039,55,SUN,1,4802
7/10/2011,2011,110702581,2033,SUN,1,4803
9/16/2011,2011,110903097,1935,FRI,1,4803
12/13/2011,2011,111210054,2325,TUE,0,4803
6/23/2014,2014,140607188,1530,MON,0,4803
1/16/2013,2013,130104100,2200,WED,0,4803
7/2/2012,2012,120700951,1944,MON,0,4805
8/31/2014,2014,140808970,2121,SUN,1,4805
3/23/2014,2014,140305175,9,SUN,1,4806
12/12/2012,2012,121203035,1802,WED,0,4810
12/6/2014,2014,141201277,2204,SAT,1,4810
10/3/2013,2013,131000575,1725,THU,0,4810
6/4/2010,2010,100600756,2235,FRI,1,4813
8/7/2013,2013,130803670,2020,WED,0,4813
6/29/2012,2012,120609764,513,FRI,0,4814
5/2/2012,2012,120500483,2250,WED,0,4815
6/5/2011,2011,110604064,2350,SUN,1,4815
7/19/2012,2012,120706904,2209,THU,0,4815
3/5/2012,2012,120304033,159,MON,1,4815
7/23/2011,2011,110709446,600,SAT,1,4820
12/23/2012,2012,121208345,204,SUN,1,4831
6/29/2014,2014,140609197,147,SUN,1,4831
10/21/2011,2011,111005200,145,FRI,0,4831
9/14/2013,2013,130902888,2354,SAT,1,4832
5/12/2011,2011,110503919,103,THU,0,4835
6/29/2010,2010,100609986,2345,TUE,0,4835
